review,feature request,bug report,rating,user experience,ID
"This is a great source of information. I would consider some changes in it:- 1. When the page doesn't exist  then please make it as soon as possible. Also if the page is not there  the app should inform that it is not there. There are many blue links but the page doesn't exist and when it is opened  only buffering circle can be seen there. 2. Please provide all the services of wikimedia  if not able  please provide the most essential in this app itself  like wikitionary  wikiquotes  wikisource  etc. Please provide them as widgets or try any other thing that would let the user use all of the wikimedia services in the same app. 3. Please provide the """"categories"""" pages. I have surfed through many pages where category is written. The page has always opened blank. Please provide the categories pages in the app as you have done it on the browser. 4. I love to read articles and gain knowledge. I liked the concept of reading list but I would appreciate it if you please provide a backup in google drive so that whatever article I have saved under the given caption  they should be saved as it is in google drive under same caption as they are given under the Wikipedia folder in google drive. 5. Please provide reliable links for the books. In some articles  the link goes to that page where either the there is no access or there is no book as promised by the link. 6. Please link google id to the wikipedia so that users don't have to make wikipedia. This would also serve the purpose of google drive backup. 7. This is very important. Many books are not available on wikibooks. Please consider to upload the books that can be uploaded in wikibooks as soon as possible. It is really disappointing that after we open a link and we find either no book or some chapters are missing or some pages are missing. 8. I would highly consider to make the wikipedia search engine better. Please provide wide range of keywords so that the desired article can be accessed. These are some generous suggestions to the wikipedia team. I would be extremely happy to know that you would have considered my suggestions. If you have a better option to make available these services  then please do it. The efforts that you have made to available the world's knowledge at doorstep is highly appreciating. I just wanted to make it a little better.",1,0,0,1,108375
"This is probably the most enjoyable game I've played on Android. It is not without its flaws though. It's still under development. It has been for years and in that time it really hasn't progressed much. There are quests you can't finish and roads you can't take with nothing to signify which ones except they don't work. The """"""""""""""""guardian"""""""""""""""" creatures blocking narrow paths quickly become tedious because they're on nearly every single screen. EVERY cave  no matter how big  eventually narrows multiple times to just big enough for two rats or bees or zombies to stand  unmoving  side by side so you have to fight both at once. It gets real old  real quick. Some rewards for boss fights are really  really bad  useless items. Drop rates for the rarest items are ridiculously low at .1% and even .01%. Respawn rates are completely random  meaning a creature blocking a path may respawn right in front of you before you can even move forward after killing it  sometimes more than once. And the story line is severely lacking for a game with so many years of development. In many quests you are forced to choose sides with zero information and the choice you make permanently effects trade and services available. If you're lucky you get some information AFTER you've chosen a side  but even then it's he said  she said every single time with no real explanation. It's all about the reward. You're choosing a side  not to further an exciting story  but as a cheap device to decide which reward you get  which people you can trade with or which services are available. Repeatedly. There is no thinking involved  no weighing of options. You either choose randomly or you look it up to see what you'll get. Horrible quest design. Absolutely the worst I've ever seen. A TON of quests in the really crappy areas you hate going through are """"""""""""""""back and forth"""""""""""""""" busy work. But somehow it's still really entertaining  at least for a week or two.""""",0,0,1,1,3500
==MOST WELCOME IN CHAMPCASH== Champcash is an networking company which created history in the field of networking 40 lac+ (4 Million+) members joined champcash in India In just 1 year Champcash is the only one company in networking which is giving unlimited money without any investment Now champcash launched worldwide in 238 countries ===Earning sources in champcash== =&gt;You will earn while doing surveys and Opinions =&gt;You will earn when your members up-to 7 level doing surveys =&gt;You will earn when you using offer wall =&gt;Installing apps =&gt;Doing registration on apps =&gt;Watching videos =&gt;Playing games and many more =&gt;You will earn when your member up-to 7 level using offer walls =&gt;You will earn when your member upgrading there id to Income Junction Pro. Grow your network Invite all your friends relatives family members neighbour Promote Champcash on facebook whatsapp etc Bigger your network the more you earn Guys currently Champcash is number one networking company in India And within few month will be number one in World In India company distributed Million of dollars to its members And all these without any cost Thousand of peoples In India earnings 10$-1000$ daily By champcash You can redeem your earned amount into your PayPal / Pyaza account So guys start your network from today ------------------------------------ Champcash Full Plan Powerpoint PPT in English : https://drive.google.com/file/d/0B2JS00lJgijXRkRxdHJrYXJVdms/view?usp=sharing ------------------------------- Champcash Full Plan Powerpoint PPT in Hindi : https://drive.google.com/file/d/0B2JS00lJgijXbHRTUlRGOURQOVE/view?usp=sharing ====Important==== Sponsor ID : 8790131 (Sponsor Id To Join With Me) Click To Join : http://champcash.com/8790131,0,0,1,0,77617
"This app is so bright it hurts. You're trying to read  write and relax  but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing. This app doesn't have some sort of front page like imgur has for example  instead all we get is the """"""""""""""""discover"""""""""""""""" feature which only promotes bland  vague and uninteresting posts with no personality. Just look at it right now! Where are the people sharing relatable stories  or video game strategies  or book or tv show reviews or something? All the posts featured there are just... unattractive  to say the least. And it's the only source of new content there is  otherwise you have to look it up manually. There are no set categories or tags  instead you make them up and unless people type them up exactly like you did they won't see your post  which is counterintuitive and discourages finding new posts or bloggers. People can disapprove or even edit your comments. That is twisted  discourages freedom of speech and opinion sharing and even allows people to literally put words in your mouth by changing your original comment to whatever they want. You can't dislike posts or comments  so the voting system is pointless. You might think otherwise because Twitter and Vine have no downvotes  but they promote discovery of new content in various ways  while WordPress does not. The search bar doesn't work. I've tried finding my own posts with the exact same title they have and they don't appear. All of these factors make it feel deserted and lacking of a community  and discourage new users of getting into writing or reading on WordPress. Also there used to be a eay to add a black outline to images; a necessity when the background is white.""""",1,0,1,1,85647
Devs  this is an awesome app. I've always been a console guy  and this app with a Bluetooth keyboard is  quite simply  THE BOMB. I do have one wish  though. One of the first things I do when I install a new system is swap the capslock and ctrl keys. A lot of the things I do involve control keystrokes  and it's just so much easier to slide my left pinky over and use the capslock key. I haven't figured out how to do that with Termux yet - if you could clue me in to how I might do that  or consider that sort of keyboard remapping as a future feature  I'd be very appreciative. I've literally found no other flaw with Termux - thanks so much for a true killer app. Update: I installed External Keyboard Helper Pro and it lets me do that remapping. I'd still prefer an internal option  since Termux is the only app I need the remapping in  but at least it gets me there. Update 2: Well  I take back that last. External Keyboard Helper Pro seems to work *sometimes*. But it DOES NOT seem to work within Termux. When I'm in my browser  for example  the capslock key works for ctrl-L to get me up to the address bar. But it doesn't work for ctrl-A D to detach from a screen session in Termux. :-( So  devs - can you find us a way to do this remapping within Termux? UPDATE 3: Ok  I did get it to work with External Keyboard Helper Pro  but to do so I had to use a custom mapping on all of the letter keys to tell them to ignore CapsLock. The CapsLock key does seem to function as ctrl  but it was ALSO doing its CapsLock function - so by programming the letter keys to ignore that all seems well. Whew...,1,0,0,0,66698
This is simply fantastic! GNU/Linux CLI in the palm of your hand --with the apt package-manager to boot! (It's a custom repo  but it has a pretty good selection  nonetheless. (The only thing I'm really missing is PDFGREP  and I bet there's a simple way to get it that I am overlooking.)) Oh  and my phone is NOT ROOTED  by the way  and that hasn't kept from me from doing anything yet. You can get Termux-API to add a few more features  like the ability to send and read SMS messages from the command line. You can also import your contacts  and more neat stuff. You get access to your SD card (after enter a short command one time). I was using (or attempting to use) one of the other most popular terminal emulators  but it was less than bare-bones - with no package manager... Needless to say  I was thrilled to discover this one. The controls are easy to adapt to within a day or two. (Volume up or down gives you your CTRL and/or ALT action.) I love running my scripts on my phone  and you just use [ termux-fix-shebang ] to make it executable in the app. (The directory path in Termux is a little longer than just /bin/bash .) I've even got $(apt list) and $(apt show) piping into dialog then into $(apt install) for a quasi-GUI type package manager setup deal. (It's dirty  but it gives me a selection box with descriptions.) Anyways  I could ramble on and on... I tried quite a few other options to have GNU/Linux in my Samsung Galaxy 6  but nothing compares to this. So  get this app if you love BASH! (or dash or zsh or fish ...-- with aptitude installed  you get choices!!!),1,0,0,1,66756
I got this app to figure out what was running in the background as far as data. Did not know what I got till I played with it. All in one monitor app. Obviously an app can't do everything  but this will point you in the right direction. Found the Samsung browser on my s5 was what was wrong with my data. A preinstalled app. So I switched to chrome. After watching it  chrome stays in region. Samng browser was connecting all over. Dublin  Georgia Maine Washington. This app showed me the light if it. Thank you for this app showing me what was really going on with MY damn data. Android sucks. But this makes it better running stock roms. Back to say I am still impressed. I know exactly what my data is doing by IP address. Like I said still finding messed up apps. Disabled stock ones. I don't want to root again.. so with this I can find the apps running and connecting and disable them threw my app manager. This is strictly a window into what your phone is doing. Also quick look ups on IP addresses used by your connections. Update 4/23/17 I can't say enough about this app. Was about to root my phone to get rid of all the junk apps. Well didn't need to because of this app right here showing me what was connecting in the background and what was running my phone dead everyday. It doesn't tell you this. You have to use the app. Look at your connection and running apps. I had apps running I never used. Restricted the background data and Bam. Phone flies again. Between this and old ass s5  makes these new phones look slow. Thank you again guys & gals.,0,0,0,1,66095
"As good as Subsonic will allow. Very nice software. But the Subsonic server (not DSub) has a few issues concerning browsing large collections: You can list 1) albums alphabetically; 2) Genres; or 3) browse the library as file structure (typically Artist\Album) or tags (Artist\Album). But  Subsonic has no handling of multiple artists or multiple genres on one album  even creating problems since semicolon """""""""""""""""""""""""""""""";"""""""""""""""""""""""""""""""" is simply omitted in artists  leading to strange artists like """"""""""""""""""""""""""""""""BachMozart"""""""""""""""""""""""""""""""" as opposed to """"""""""""""""""""""""""""""""Bach; Mozart""""""""""""""""""""""""""""""""  or one entry """"""""""""""""""""""""""""""""Bach"""""""""""""""""""""""""""""""" and another """"""""""""""""""""""""""""""""Mozart"""""""""""""""""""""""""""""""" for same album. Can be mitigated somewhat by the """"""""""""""""""""""""""""""""Browse by tags"""""""""""""""""""""""""""""""" server setting  resulting in an artist called """"""""""""""""""""""""""""""""Bach/Mozart"""""""""""""""""""""""""""""""". Likewise the genre listing suffers when the genre filed has many entries  since each combination of many genres is understood as one new unique genre  e.g. """"""""""""""""""""""""""""""""Jazz; Bob"""""""""""""""""""""""""""""""" is not the same as """"""""""""""""""""""""""""""""Bob; Jazz""""""""""""""""""""""""""""""""  nor """"""""""""""""""""""""""""""""Jazz""""""""""""""""""""""""""""""""  nor """"""""""""""""""""""""""""""""Bob"""""""""""""""""""""""""""""""". Many other databases like MediaMonkey  iTunes handles all this excellently  but not Subsonic. Conclusion is that DSub  though as excellent as it gets  is limited when navigate among your 100.000 albums/tracks. DSub still gets 5 stars. But Subsonic  please do fix this.""""",0,1,1,1,173250
I've loved this app. It has been my replacement for quickpic. But with the recent update hid ALL the files in my sd card. I was just trying to hide few folders. Idk what to do. UPDATE AFTER THE DEV'S REPLY: still nothing. It doesn't show any of my files on music apps or the stock gallery. Only in the file explorer. The way this mess started was by me selecting multiple folders and trying to exclude them  as it didn't work  i tried to hide them. Suddenly it gave me several ''unknown error'' bubbles and as i reopened it  it only showed the internal memory files. Nothing on my sd card is visible. I have very vital files in it  so i need a solution. Please. I think it's necessary for me to mention that i uninstalled and reinstalled the app  i also deleted several nomedia files in hopes it would fix my problem  but it didnt. Now that i reinstalled it  if i use the ''temporarily show hidden files1' option it does show me my pictures. But it does not restore my media in general. I cannot listen to my music or audio files in any player  only directly from the file explorers. Finally  i tried what you said in your reply  but the problem is the apo hid files i didn't even hide  so it doesn't even show me an ''unhide'' option for most of them. Please i expect a quick reply. Thanks in advance. Second update:files are finally appearing after trying twice more. Will this be a permanent solution? Can i safely exclude fiolders withtout my files being hidden by .nomedia files again?,1,1,1,1,65505
I Drusilla Burt I will be was on you I it Drusilla Burt you will be information reports it on you if anything you will be in jail for doing that I will keeps on eye on the Hollywood's biggest most recent will be whanend for curse of to menu of them in Hollywood in and too will be fired from yours jobs no more do that to anybody too on cirme too I or to kill you from try to danger my work too and schools too I work so herd and Herder you play the game with me on allways never do so death end to you Hollywood's Star ones of than is losing to me and that are a gongs star one of than will be in trouble bigger troubling on all of the people too that like to lie and if it to that can not work that play a dirty tricks on us and play a lots of game with me ? Sin by Drusilla Burt dburt had sign in dburt OK all sat not now bye see you later on sooner I will going to get you I will gave you a punish on the face as sooner later on and or I will cures you to be in jail or someone else's will be put you in jail dad and you are not death you will be in death or to life in perison in jail OK that it for not now iam clear to you so gets out you teeneger not to go in to colleges anymore OK with you not now that for that for the mom and dad who is lots of holder in enough to go to college's not you teenager you like to kill your parents and yours loved one too by Drusilla Burt holding your loved one like your mom and dad is it clear to you not now by dburt sign in dburt,0,0,1,1,223239
